root,contract,expiry_date,source,source_url
HG,HGX2012,2012-11-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGX2013,2013-11-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGX2014,2014-11-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGX2015,2015-11-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGX2016,2016-11-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGX2017,2017-11-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGX2018,2018-11-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGX2019,2019-11-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGX2020,2020-11-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGX2021,2021-11-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGX2022,2022-11-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGX2023,2023-11-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGX2024,2024-11-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGZ2008,2008-12-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGZ2009,2009-12-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGZ2010,2010-12-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGZ2011,2011-12-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGZ2012,2012-12-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGZ2013,2013-12-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGZ2014,2014-12-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGZ2015,2015-12-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGZ2016,2016-12-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGZ2017,2017-12-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGZ2018,2018-12-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGZ2019,2019-12-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGZ2020,2020-12-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGZ2021,2021-12-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGZ2022,2022-12-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGZ2023,2023-12-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGZ2024,2024-12-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
